# time = 2.000175010089e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-5.843564744145e-03 5.931907392697e-02 1.063598203124e+06 1.061566870427e+06 -5.124450191389e+06 6.513386527868e+11 4.527104951610e-04
-5.425420954298e-03 6.345328011322e-02 1.056743353398e+06 1.064107303287e+06 -4.880563992404e+06 6.830890038493e+11 4.789012845946e-04
-5.018050621412e-03 6.797887505001e-02 1.050095656348e+06 1.065745872440e+06 -4.640449878730e+06 7.175023773881e+11 5.062308976689e-04
-4.621359014343e-03 7.285111504288e-02 1.042317569892e+06 1.050517944584e+06 -4.408213810268e+06 7.525074026680e+11 5.347601164854e-04
-4.234830795615e-03 7.795966804537e-02 1.035075870353e+06 1.042098180224e+06 -4.181681912991e+06 7.888223860452e+11 5.645161937575e-04
-3.857987952918e-03 8.348375610047e-02 1.025743893526e+06 1.034540141707e+06 -3.953113847936e+06 8.246232124508e+11 5.955556295139e-04
-3.491226597474e-03 8.960450570562e-02 1.016236959829e+06 1.023597648402e+06 -3.727796922244e+06 8.633983115765e+11 6.279443653517e-04
-3.135061453123e-03 9.637795657569e-02 1.006666984581e+06 1.012826593410e+06 -3.509270929529e+06 9.054275455006e+11 6.617574808010e-04
-2.789549229522e-03 1.036675039355e-01 9.953953955261e+05 9.959922574705e+05 -3.291119029208e+06 9.468064852117e+11 6.970056615999e-04
-2.455037733814e-03 1.117191802464e-01 9.829832034930e+05 9.880971740104e+05 -3.076508431126e+06 9.896443735541e+11 7.337613371450e-04
-2.131548061522e-03 1.203613093520e-01 9.701846387586e+05 9.667298413971e+05 -2.867665786036e+06 1.033240249298e+12 7.720252139671e-04
-1.819220841689e-03 1.301858452385e-01 9.547933783679e+05 9.435710579379e+05 -2.661115032885e+06 1.077445781873e+12 8.119112563140e-04
-1.518792622959e-03 1.413422750664e-01 9.391187464289e+05 9.430819713752e+05 -2.455900927756e+06 1.126165842000e+12 8.534969090733e-04
-1.230781852155e-03 1.534531846917e-01 9.219434307175e+05 9.159093010085e+05 -2.252212810363e+06 1.173496140951e+12 8.966856364111e-04
-9.559013747313e-04 1.676119655488e-01 9.056391197399e+05 9.065206432577e+05 -2.050094796711e+06 1.230399490490e+12 9.415530782270e-04
-6.954090740951e-04 1.840836045128e-01 8.841572599670e+05 8.873454216884e+05 -1.851457675777e+06 1.283440589679e+12 9.880658315694e-04
-4.505575830827e-04 2.034210437232e-01 8.623654040198e+05 8.705901800373e+05 -1.657326676767e+06 1.343823167126e+12 1.036196233306e-03
-2.221994114641e-04 2.262688108384e-01 8.355815482387e+05 8.383259838527e+05 -1.464384378652e+06 1.400151180697e+12 1.085948296328e-03
-1.079690339822e-05 2.532143086778e-01 8.056419340280e+05 8.048060828640e+05 -1.268071363047e+06 1.454932142876e+12 1.137166655546e-03
1.823461253566e-04 2.880781086937e-01 7.697739930134e+05 7.761442736205e+05 -1.072414013285e+06 1.511386518381e+12 1.189934167467e-03
3.555447958027e-04 3.354800026769e-01 7.283118023909e+05 7.333452767376e+05 -8.796951505362e+05 1.576872622416e+12 1.244429847437e-03
