# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-7.743414184057e-03 4.513780021415e-02 1.110575290300e+06 1.110598997240e+06 -6.221607241648e+06 5.518195639327e+11 3.753611392029e-04
-7.243793711162e-03 4.856252638334e-02 1.105271982244e+06 1.105294331846e+06 -5.940528303879e+06 5.831567405137e+11 3.990168788882e-04
-6.769175755911e-03 5.213322533091e-02 1.099732836075e+06 1.099753904703e+06 -5.672032861100e+06 6.148845872738e+11 4.231709367308e-04
-6.317165531556e-03 5.586166035977e-02 1.093942754173e+06 1.093962849930e+06 -5.414817405747e+06 6.470305759033e+11 4.478454517284e-04
-5.885760732488e-03 5.976000879717e-02 1.087885607564e+06 1.087904913402e+06 -5.167751976066e+06 6.796133154700e+11 4.730608464063e-04
-5.473276945011e-03 6.384157505136e-02 1.081544155282e+06 1.081562977485e+06 -4.929879037840e+06 7.126486152384e+11 4.988359180989e-04
-5.078290939586e-03 6.812163562599e-02 1.074899849495e+06 1.074918275412e+06 -4.700407881839e+06 7.461557824312e+11 5.251881545580e-04
-4.699595097330e-03 7.261776335845e-02 1.067932528685e+06 1.067950734422e+06 -4.478679073335e+06 7.801579151778e+11 5.521341573231e-04
-4.336158394633e-03 7.734965304411e-02 1.060620073417e+06 1.060638321881e+06 -4.264114003777e+06 8.146770722982e+11 5.796900125069e-04
-3.987094029790e-03 8.233892418162e-02 1.052938064331e+06 1.052956552138e+06 -4.056176164441e+06 8.497291784363e+11 6.078714630035e-04
-3.651635229516e-03 8.760926389162e-02 1.044859436478e+06 1.044878255731e+06 -3.854354727274e+06 8.853218154051e+11 6.366938417124e-04
-3.329118436146e-03 9.318711589990e-02 1.036354118922e+06 1.036373321049e+06 -3.658169220676e+06 9.214561677998e+11 6.661719156414e-04
-3.018971075372e-03 9.910312271955e-02 1.027388589434e+06 1.027408207483e+06 -3.467192031135e+06 9.581339754411e+11 6.963197004440e-04
-2.720706027429e-03 1.053945898850e-01 1.017924662166e+06 1.017944757503e+06 -3.281061116111e+06 9.953694797257e+11 7.271542127114e-04
-2.433845931830e-03 1.121081878571e-01 1.007917438228e+06 1.007937995076e+06 -3.099461144902e+06 1.033198075636e+12 7.586984125493e-04
-2.157960336132e-03 1.193006675022e-01 9.973146214785e+05 9.973355789206e+05 -2.922105255317e+06 1.071667147176e+12 7.909739215096e-04
-1.892767501406e-03 1.270382325779e-01 9.860567993273e+05 9.860781206126e+05 -2.748715747422e+06 1.110816342077e+12 8.239979396605e-04
-1.638053572936e-03 1.353984169063e-01 9.740756806435e+05 9.740973889774e+05 -2.578997081305e+06 1.150672021706e+12 8.577875399020e-04
-1.393653833558e-03 1.444754312965e-01 9.612909071776e+05 9.613131298875e+05 -2.412640799341e+06 1.191258802218e+12 8.923609029993e-04
-1.159448141035e-03 1.543855095597e-01 9.476066451129e+05 9.476296551076e+05 -2.249309980177e+06 1.232599890160e+12 9.277377544306e-04
-9.353614519446e-04 1.652737959844e-01 9.329074760455e+05 9.329316861102e+05 -2.088626754082e+06 1.274713857845e+12 9.639390317476e-04
-7.213717103300e-04 1.773352066339e-01 9.170523181414e+05 9.170782431364e+05 -1.930319991816e+06 1.317679529266e+12 1.000987224649e-03
-5.175291037663e-04 1.908303390381e-01 8.998652293881e+05 8.998935177883e+05 -1.774118863158e+06 1.361621137197e+12 1.038906828458e-03
-3.239547796691e-04 2.060697024833e-01 8.811258190014e+05 8.811572114552e+05 -1.619246505007e+06 1.406463271769e+12 1.077721327932e-03
-1.408167680226e-04 2.235085498763e-01 8.605535184784e+05 8.605886135608e+05 -1.465248157660e+06 1.452289256210e+12 1.117456517002e-03
3.160378032626e-05 2.439809706181e-01 8.377640396098e+05 8.378035609756e+05 -1.312835224733e+06 1.500155962688e+12 1.158158964428e-03
1.928358715493e-04 2.684425424257e-01 8.122222308562e+05 8.122674173022e+05 -1.160259638889e+06 1.549913634487e+12 1.199884298747e-03
3.424735399529e-04 2.977137563194e-01 7.832426883583e+05 7.832937964089e+05 -1.003245099924e+06 1.598515173569e+12 1.242639696954e-03
4.800607464457e-04 3.355251635908e-01 7.498422094625e+05 7.498984438511e+05 -8.416501285469e+05 1.652307770125e+12 1.286443190919e-03
6.035776163016e-04 3.889028820686e-01 7.102210755471e+05 7.102850126836e+05 -6.810457391823e+05 1.719921542178e+12 1.331544152795e-03
