# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-4.758968514012e-02 8.165355814968e-04 1.186866191169e+06 1.186596562634e+06 -2.702695953405e+07 1.946959692276e+10 5.058100194806e-06
-4.238301395165e-02 9.352077691521e-04 1.186013004113e+06 1.186042659161e+06 -2.424597475259e+07 2.185443789072e+10 9.461173056479e-06
-3.817343988017e-02 1.436244338954e-03 1.185402042967e+06 1.185421362024e+06 -2.236787270451e+07 3.158035342031e+10 1.523596345474e-05
-3.434149867234e-02 2.111124966284e-03 1.184556373196e+06 1.184570655552e+06 -2.042480371270e+07 4.393258033321e+10 2.290162468814e-05
-3.091128216253e-02 2.995556641178e-03 1.183419671978e+06 1.183425573392e+06 -1.863308283138e+07 5.926636395083e+10 3.252397449656e-05
-2.791708347274e-02 4.105427573395e-03 1.181974424026e+06 1.181978799043e+06 -1.705815557489e+07 7.756694632515e+10 4.403688538842e-05
-2.530265276351e-02 5.435766631709e-03 1.180214243655e+06 1.180212733690e+06 -1.568166901511e+07 9.850929287846e+10 5.736306052552e-05
-2.301393878682e-02 6.978119933281e-03 1.178139967089e+06 1.178140179482e+06 -1.447664118455e+07 1.217714899793e+11 7.230346453924e-05
-2.102058132977e-02 8.711355204856e-03 1.175770922092e+06 1.175766460893e+06 -1.342314943456e+07 1.468945266414e+11 8.854651176251e-05
-1.928477223551e-02 1.060817756880e-02 1.173138184446e+06 1.173136269921e+06 -1.250220492418e+07 1.733904975466e+11 1.058041568498e-04
-1.776693196816e-02 1.264407678398e-02 1.170271706942e+06 1.170265553570e+06 -1.169374959720e+07 2.008617322766e+11 1.238493916523e-04
-1.643043417496e-02 1.480005990714e-02 1.167195851992e+06 1.167192061812e+06 -1.097915008901e+07 2.290193152618e+11 1.425206600112e-04
-1.524379780843e-02 1.706344104634e-02 1.163928351944e+06 1.163920817018e+06 -1.034239703356e+07 2.576765123188e+11 1.617109382591e-04
