# time = 2.000259116430e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-1.998913878593e-02 8.969775197609e-03 1.135260598942e+06 1.128966178054e+06 -1.293368210910e+07 1.424165933012e+11 8.226574257687e-05
-1.916625679957e-02 9.912242726948e-03 1.134129724476e+06 1.132111266210e+06 -1.248843618167e+07 1.549472166244e+11 9.015972402848e-05
-1.839636474497e-02 1.088679171625e-02 1.132297746292e+06 1.134032071085e+06 -1.206973218372e+07 1.675276524682e+11 9.830038954925e-05
-1.767074448833e-02 1.190238708358e-02 1.130439331294e+06 1.133528022595e+06 -1.167533928431e+07 1.804082789419e+11 1.067161576969e-04
-1.698223359824e-02 1.295493734080e-02 1.129062628805e+06 1.132067222686e+06 -1.130124416647e+07 1.936684036970e+11 1.154332701897e-04
-1.632498537526e-02 1.405397041235e-02 1.127479416779e+06 1.132803108693e+06 -1.094294799248e+07 2.072509421397e+11 1.244830673815e-04
-1.569437017939e-02 1.520651251899e-02 1.125653127019e+06 1.130914952180e+06 -1.059844445451e+07 2.212118337767e+11 1.338976117713e-04
-1.508676005857e-02 1.640693295359e-02 1.124313270617e+06 1.132922540868e+06 -1.026491277690e+07 2.356996045128e+11 1.437004592092e-04
-1.449940614003e-02 1.767519078255e-02 1.122565436010e+06 1.129853341276e+06 -9.942815949429e+06 2.506613350947e+11 1.539220741493e-04
-1.393015416211e-02 1.900533495567e-02 1.120782148804e+06 1.127791122456e+06 -9.631283185930e+06 2.661230121572e+11 1.645849580348e-04
-1.337731237948e-02 2.041430831062e-02 1.118568756099e+06 1.121088499548e+06 -9.328976979246e+06 2.821107651716e+11 1.757170329125e-04
-1.283953921612e-02 2.190212794022e-02 1.116300580371e+06 1.120333900912e+06 -9.036719240866e+06 2.987332865223e+11 1.873437807981e-04
-1.231561208101e-02 2.346047395016e-02 1.114111685599e+06 1.113624470293e+06 -8.751426980792e+06 3.159302035067e+11 1.994850782633e-04
-1.180449640403e-02 2.510142157164e-02 1.112007259108e+06 1.115298561372e+06 -8.470311699626e+06 3.338322556094e+11 2.121635064096e-04
-1.130543597524e-02 2.682851325756e-02 1.109255041608e+06 1.114638311100e+06 -8.194659144181e+06 3.520942132917e+11 2.253989782169e-04
-1.081782437489e-02 2.863500265438e-02 1.107327125671e+06 1.113403570859e+06 -7.924707380945e+06 3.713544785196e+11 2.392050317534e-04
-1.034115783613e-02 3.055499154872e-02 1.104110082848e+06 1.105435807095e+06 -7.660020474061e+06 3.908463080222e+11 2.536083651301e-04
-9.875043333456e-03 3.257592734323e-02 1.101734287271e+06 1.108280743752e+06 -7.399851413097e+06 4.115567889091e+11 2.686250778774e-04
-9.419206323341e-03 3.471187624799e-02 1.098772655653e+06 1.108895061409e+06 -7.145405531937e+06 4.327920285674e+11 2.842736776229e-04
-8.973415335377e-03 3.696403309909e-02 1.095337308462e+06 1.096719548716e+06 -6.897200559759e+06 4.545507704426e+11 3.005714277212e-04
-8.537389663640e-03 3.932586316628e-02 1.092162290253e+06 1.090448059636e+06 -6.654319106613e+06 4.771976964473e+11 3.175330758988e-04
-8.110794819919e-03 4.181530972155e-02 1.089305790460e+06 1.090456617703e+06 -6.415081912863e+06 5.009606583302e+11 3.351788449539e-04
-7.693403612954e-03 4.445799424700e-02 1.085020844694e+06 1.079230213423e+06 -6.178363454769e+06 5.247511062546e+11 3.535310842553e-04
-7.285195752202e-03 4.726893740907e-02 1.081101486609e+06 1.076444133895e+06 -5.945783208821e+06 5.499676107701e+11 3.726114169596e-04
-6.886094045608e-03 5.020177285683e-02 1.075836015597e+06 1.075712129718e+06 -5.718760812222e+06 5.746820882027e+11 3.924249524054e-04
-6.495839746698e-03 5.323761723577e-02 1.072043081699e+06 1.073910300966e+06 -5.495199453919e+06 6.010396649732e+11 4.129654803698e-04
-6.114439376187e-03 5.652822219016e-02 1.067976681540e+06 1.070488330552e+06 -5.274993976209e+06 6.290172590734e+11 4.342686166554e-04
