# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-7.895182205629e-03 4.331605288259e-02 1.096864437583e+06 1.099244003920e+06 -6.293365696484e+06 5.221295951739e+11 3.509511858253e-04
-7.544798635352e-03 4.559540569359e-02 1.093383260737e+06 1.095745935722e+06 -6.096013575175e+06 5.429046403121e+11 3.667127041754e-04
-7.203817884581e-03 4.796184240462e-02 1.089759265296e+06 1.092107314717e+06 -5.903277180620e+06 5.640464859599e+11 3.828527529125e-04
-6.871761573896e-03 5.041998489189e-02 1.085985945320e+06 1.088320941712e+06 -5.714872752706e+06 5.855616248180e+11 3.993807521242e-04
-6.548204867353e-03 5.297498932510e-02 1.082056352504e+06 1.084380059162e+06 -5.530556752756e+06 6.074580748116e+11 4.163060438298e-04
-6.232769780932e-03 5.563252579110e-02 1.077962971036e+06 1.080276805942e+06 -5.350114494501e+06 6.297445902003e+11 4.336379770693e-04
-5.925118534562e-03 5.839869494360e-02 1.073697662062e+06 1.076003226253e+06 -5.173347260641e+06 6.524293081046e+11 4.513859922943e-04
-5.624947457432e-03 6.127998927952e-02 1.069251671704e+06 1.071550738333e+06 -5.000064622418e+06 6.755189149633e+11 4.695596889874e-04
-5.331982115748e-03 6.428338651788e-02 1.064615644015e+06 1.066909947213e+06 -4.830084902355e+06 6.990190651792e+11 4.881688748024e-04
-5.045974045388e-03 6.741657065132e-02 1.059779568315e+06 1.062071031413e+06 -4.663240847849e+06 7.229358154276e+11 5.072236026669e-04
-4.766698901831e-03 7.068817944515e-02 1.054732637376e+06 1.057023170721e+06 -4.499384052200e+06 7.472769887412e+11 5.267342002608e-04
-4.493955369931e-03 7.410795864555e-02 1.049463056660e+06 1.051754453830e+06 -4.338383272841e+06 7.720523826570e+11 5.467112896798e-04
-4.227564110263e-03 7.768678572472e-02 1.043957874663e+06 1.046252530688e+06 -4.180117072512e+06 7.972726366986e+11 5.671657943558e-04
-3.967366337184e-03 8.143664525425e-02 1.038202870788e+06 1.040502715774e+06 -4.024465679259e+06 8.229476341560e+11 5.881089407116e-04
-3.713222040046e-03 8.537069808873e-02 1.032182474597e+06 1.034490516258e+06 -3.871307166639e+06 8.490856744490e+11 6.095522777948e-04
-3.465008091010e-03 8.950354561565e-02 1.025879650369e+06 1.028198210410e+06 -3.720519454963e+06 8.756940896682e+11 6.315077462744e-04
-3.222616481829e-03 9.385169195594e-02 1.019275689621e+06 1.021607918421e+06 -3.571985715946e+06 9.027810313933e+11 6.539878122442e-04
-2.985952988192e-03 9.843410818494e-02 1.012349901088e+06 1.014698588008e+06 -3.425599397090e+06 9.303573758288e+11 6.770055229040e-04
-2.754938944352e-03 1.032728872171e-01 1.005079022733e+06 1.007447171697e+06 -3.281261130851e+06 9.584382032279e+11 7.005756948979e-04
-2.529489096671e-03 1.083937692393e-01 9.974365688291e+05 9.998278232954e+05 -3.138869719344e+06 9.870421992536e+11 7.247147401456e-04
-2.309543504797e-03 1.138259776828e-01 9.893931003457e+05 9.918109181512e+05 -2.998326499013e+06 1.016186326062e+12 7.494361608161e-04
-2.095116887906e-03 1.196017016682e-01 9.809173763057e+05 9.833667214757e+05 -2.859553507067e+06 1.045879284471e+12 7.747461994808e-04
-1.886304732911e-03 1.257559752018e-01 9.719775928733e+05 9.744628906545e+05 -2.722514913400e+06 1.076118690348e+12 8.006399064275e-04
-1.683308114524e-03 1.323266691196e-01 9.625428494772e+05 9.650700976261e+05 -2.587241006799e+06 1.106889864581e+12 8.270960122706e-04
-1.486444205640e-03 1.393542941586e-01 9.525846756380e+05 9.551594329912e+05 -2.453841615078e+06 1.138163880438e+12 8.540737729346e-04
-1.296125777204e-03 1.468819027698e-01 9.420776628372e+05 9.447070964702e+05 -2.322491544581e+06 1.169895331361e+12 8.815139533544e-04
-1.112808245015e-03 1.549553752447e-01 9.309986003197e+05 9.336904658428e+05 -2.193385065646e+06 1.202020040768e+12 9.093443272090e-04
-9.369207633645e-04 1.636249098315e-01 9.193244296922e+05 9.220883317484e+05 -2.066683114665e+06 1.234457467121e+12 9.374879197641e-04
-7.688069241398e-04 1.729496960851e-01 9.070295103624e+05 9.098758139815e+05 -1.942498497831e+06 1.267129045877e+12 9.658712869586e-04
-6.086939108521e-04 1.830061747448e-01 8.940817237377e+05 8.970213869491e+05 -1.820919584240e+06 1.299988873208e+12 9.944307566425e-04
-4.566921037115e-04 1.938953124186e-01 8.804371726432e+05 8.834826015622e+05 -1.701999066872e+06 1.333032774164e+12 1.023115655617e-03
-3.128136379680e-04 2.057436382570e-01 8.660347928769e+05 8.692021469805e+05 -1.585660750235e+06 1.366258287862e+12 1.051888469453e-03
-1.769963223024e-04 2.187031159822e-01 8.507944090428e+05 8.541056883332e+05 -1.471622892276e+06 1.399620279599e+12 1.080722910338e-03
-4.912794921769e-05 2.329733583097e-01 8.346201520537e+05 8.380971340922e+05 -1.359578907424e+06 1.433115252846e+12 1.109601969087e-03
7.092094135605e-05 2.488516083720e-01 8.173912212843e+05 8.210543020971e+05 -1.249498549284e+06 1.466939785206e+12 1.138517180883e-03
1.832612403540e-04 2.667268960459e-01 7.989266180200e+05 8.028158374315e+05 -1.141129069625e+06 1.501218925859e+12 1.167465809016e-03
2.879866258575e-04 2.870216297288e-01 7.789925743951e+05 7.831759913210e+05 -1.033271460881e+06 1.535590564856e+12 1.196444400729e-03
3.851874278685e-04 3.104268066041e-01 7.573601471733e+05 7.618712941357e+05 -9.255467771583e+05 1.570306370250e+12 1.225451599997e-03
4.748725432567e-04 3.383114439243e-01 7.336699263447e+05 7.385310238339e+05 -8.194375684671e+05 1.607048738318e+12 1.254503004087e-03
5.569309772624e-04 3.721649435783e-01 7.071837018834e+05 7.125970820778e+05 -7.128371463530e+05 1.644749012563e+12 1.283617777824e-03
6.313342102608e-04 4.134378225821e-01 6.769998362016e+05 6.833110486665e+05 -5.994578869975e+05 1.679074731146e+12 1.312766492298e-03
6.979374981091e-04 4.680557520941e-01 6.423259022457e+05 6.495954263825e+05 -4.784121627121e+05 1.717434447916e+12 1.341912586108e-03
7.558753303271e-04 5.448623921914e-01 6.012201465841e+05 6.093995084484e+05 -3.657137885177e+05 1.760661486883e+12 1.371129447332e-03
8.051824158815e-04 6.606370922339e-01 5.464044690107e+05 5.586439322080e+05 -2.485693208754e+05 1.783226366304e+12 1.399544521051e-03
8.418985768349e-04 1.236588912199e+00 4.226253696732e+05 4.656307786150e+05 6.934833975386e+04 2.027021005694e+12 1.430998183830e-03
8.560540717225e-04 6.838594179604e+00 1.676885843719e+05 1.836682761937e+05 2.916410949088e+05 2.010446966199e+12 1.487519307088e-03
8.584286184702e-04 2.817642727201e+01 7.829343487527e+04 7.521976767010e+04 3.207095627820e+05 2.008528496761e+12 1.531422284675e-03
8.591703630226e-04 4.304206006787e+01 6.239926173724e+04 5.374827710438e+04 3.210614721058e+05 2.011178847565e+12 1.561655380110e-03
8.598334348469e-04 4.369415041761e+01 6.193325712856e+04 5.207961854174e+04 3.211713996271e+05 2.013065279708e+12 1.590569523891e-03
8.604938419553e-04 4.403003066103e+01 6.171307206655e+04 5.189441776571e+04 3.213718142706e+05 2.014851965437e+12 1.619557678893e-03
8.611501795580e-04 4.436659588024e+01 6.150507237188e+04 5.171950734183e+04 3.215942497007e+05 2.017164400251e+12 1.648577003046e-03
8.618020029074e-04 4.472306948249e+01 6.129143428969e+04 5.153985716183e+04 3.218539416390e+05 2.019818667149e+12 1.677611067346e-03
8.624485727424e-04 4.511520570958e+01 6.106134393654e+04 5.134637789355e+04 3.221439568099e+05 2.022830308075e+12 1.706633271901e-03
8.630885848523e-04 4.552122025955e+01 6.083088965597e+04 5.115259404993e+04 3.224581321866e+05 2.026180666320e+12 1.735617204252e-03
8.637219978478e-04 4.590697893142e+01 6.062434622646e+04 3.409165308906e+04 3.227906651958e+05 2.029862174170e+12 1.764591463409e-03
8.643508878760e-04 4.626716978687e+01 6.044382040339e+04 3.399013347374e+04 3.231425965147e+05 2.033823783619e+12 1.793600132041e-03
8.649759612419e-04 4.663063402543e+01 6.026767813927e+04 3.389107782736e+04 3.235154426824e+05 2.038018021662e+12 1.822646784104e-03
8.655967063243e-04 4.702808625983e+01 6.007520698836e+04 3.378284397544e+04 3.239056140235e+05 2.042468054522e+12 1.851684657661e-03
8.662108774746e-04 4.745780172596e+01 5.986861833439e+04 3.366667272643e+04 3.243088292242e+05 2.047193414883e+12 1.880664689890e-03
8.668180031891e-04 4.788778842542e+01 5.966931820594e+04 3.355459986577e+04 3.247281156744e+05 2.052156985595e+12 1.909614860279e-03
8.674199610987e-04 4.828663631891e+01 5.949430740291e+04 3.345618260561e+04 3.251513379884e+05 2.057156767307e+12 1.938603568163e-03
8.680186959726e-04 4.864520250011e+01 5.933892912890e+04 3.336880427688e+04 3.255292661192e+05 2.061643117855e+12 1.967645300064e-03
8.686139835473e-04 4.896210254936e+01 5.917998869696e+04 3.327942273746e+04 3.257327588067e+05 2.064310414124e+12 1.996714392790e-03
8.692061079183e-04 4.925535189615e+01 5.899745632572e+04 3.317677779453e+04 3.257333977975e+05 2.064708541577e+12 2.025774420131e-03
8.697939579550e-04 4.956584480974e+01 5.879309769571e+04 3.306185941397e+04 3.256880316913e+05 2.064403837520e+12 2.054795097626e-03
8.703771028890e-04 4.986260634341e+01 5.858032208855e+04 3.294220778913e+04 3.255435450853e+05 2.063026636414e+12 2.083804900990e-03
8.709575474860e-04 5.011657104646e+01 5.837099172781e+04 3.282449395113e+04 3.252774385483e+05 2.060225809820e+12 2.112834306663e-03
8.715355782223e-04 5.031442376786e+01 5.817765109591e+04 3.271577075193e+04 3.249131813601e+05 2.056274042619e+12 2.141891483382e-03
8.721125712164e-04 5.047045041357e+01 5.800056020177e+04 3.261618288482e+04 3.244987912165e+05 2.051724405481e+12 2.170971454318e-03
8.726879345297e-04 5.063067276856e+01 5.782272884718e+04 3.251617988143e+04 3.240908361915e+05 2.047241432425e+12 2.200050129249e-03
8.732612296617e-04 5.082757550938e+01 5.763768012810e+04 3.241211920052e+04 3.237576304731e+05 2.043578923923e+12 2.229110535524e-03
8.738314242981e-04 5.110101558799e+01 5.744517092096e+04 3.230386250557e+04 3.236222102647e+05 2.042069818727e+12 2.258131627714e-03
8.743970619678e-04 5.141542899535e+01 5.725696931946e+04 6.461312085389e+04 3.236200262570e+05 2.042120181795e+12 2.287130551558e-03
8.749594484889e-04 5.170960868218e+01 5.708391640778e+04 4.800173683455e+04 3.236435964874e+05 2.042249707201e+12 2.316146105610e-03
8.755193119632e-04 5.197799767421e+01 5.693508900297e+04 6.742694935329e+04 3.237092067806e+05 2.042811825502e+12 2.345196025389e-03
8.760772260517e-04 5.222018955748e+01 5.681100205916e+04 4.777223271589e+04 3.238259963653e+05 2.043847693433e+12 2.374275150513e-03
8.766330239344e-04 5.247862511688e+01 5.668612139749e+04 6.526063240919e+04 3.239898867666e+05 2.045329309126e+12 2.403361761132e-03
8.771857387292e-04 5.276922832616e+01 5.655027274339e+04 6.551946554715e+04 3.241938441686e+05 2.047191706390e+12 2.432434648791e-03
8.777349118558e-04 5.310320941786e+01 5.639603522867e+04 6.535172555628e+04 3.244293577893e+05 2.049354675090e+12 2.461467278629e-03
8.782791803556e-04 5.346101584805e+01 5.623396253763e+04 6.597860723871e+04 3.246892687533e+05 2.051754740247e+12 2.490466259295e-03
8.788197764139e-04 5.380404264500e+01 5.608548782360e+04 4.716215225908e+04 3.249694845703e+05 2.054362939177e+12 2.519466050766e-03
8.793571585166e-04 5.411719952413e+01 5.595870607987e+04 6.654639133394e+04 3.252685544194e+05 2.057179465657e+12 2.548491846521e-03
8.798924777366e-04 5.439174290735e+01 5.585822293142e+04 3.141143738093e+04 3.255861988084e+05 2.060218538777e+12 2.577575067845e-03
8.804265569131e-04 5.466891892111e+01 5.576108469792e+04 6.122511709469e+04 3.259217896504e+05 2.063489708138e+12 2.606681944881e-03
8.809573196106e-04 5.497206408110e+01 5.565452879605e+04 3.129690005049e+04 3.262734437798e+05 2.066990697610e+12 2.635770297234e-03
8.814848527162e-04 5.532284114175e+01 5.552693597746e+04 3.122515670129e+04 3.266387510970e+05 2.070710243971e+12 2.664824571645e-03
8.820076732732e-04 5.570643865224e+01 5.538658467451e+04 3.114623313233e+04 3.270154124254e+05 2.074634161515e+12 2.693830568974e-03
8.825262403199e-04 5.609371813024e+01 5.524918252832e+04 3.106896684512e+04 3.274020112527e+05 2.078754270614e+12 2.722815203452e-03
8.830411092958e-04 5.645806291078e+01 5.512832126133e+04 3.100100253675e+04 3.277961786121e+05 2.083049131659e+12 2.751814396169e-03
8.835535229160e-04 5.677085033034e+01 5.503656709246e+04 3.094940431344e+04 3.281888298644e+05 2.087399285594e+12 2.780864196274e-03
8.840645147913e-04 5.705270230601e+01 5.495820536999e+04 3.090533593768e+04 3.285588250310e+05 2.091535137798e+12 2.809958403934e-03
8.845734293002e-04 5.732043698001e+01 5.487829060639e+04 3.086039480695e+04 3.288716484239e+05 2.095089748797e+12 2.839077212605e-03
