# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-1.065288341945e-02 3.063350595341e-02 1.145591735670e+06 1.145609521888e+06 -7.864494296557e+06 4.155205513446e+11 2.653375999239e-04
-1.021959691302e-02 3.245442214561e-02 1.142846375794e+06 1.142862435907e+06 -7.625635334977e+06 4.350024011510e+11 2.791620568921e-04
-9.800952862421e-03 3.433784159790e-02 1.139995871963e+06 1.140013198585e+06 -7.394250172427e+06 4.548053532172e+11 2.933044060131e-04
-9.395878911954e-03 3.628732770789e-02 1.137035665187e+06 1.137052014786e+06 -7.169802485354e+06 4.749450617213e+11 3.077742643874e-04
-9.003437074496e-03 3.830657880477e-02 1.133960906122e+06 1.133977901038e+06 -6.951811244364e+06 4.954360162126e+11 3.225812564917e-04
-8.622800627950e-03 4.039923949571e-02 1.130766481817e+06 1.130783047415e+06 -6.739824554396e+06 5.162893586694e+11 3.377350473350e-04
-8.253235286915e-03 4.256881863874e-02 1.127446979510e+06 1.127463830358e+06 -6.533409479261e+06 5.375119526849e+11 3.532453316181e-04
-7.894084878767e-03 4.481876273818e-02 1.123996693027e+06 1.124013436785e+06 -6.332156684997e+06 5.591071987168e+11 3.691217986243e-04
-7.544761155267e-03 4.715267397686e-02 1.120409594280e+06 1.120426467921e+06 -6.135693975374e+06 5.810772855358e+11 3.853741001707e-04
-7.204736844998e-03 4.957460830926e-02 1.116679327422e+06 1.116696247350e+06 -5.943700628801e+06 6.034261139487e+11 4.020118463086e-04
-6.873540677473e-03 5.208934095463e-02 1.112799158918e+06 1.112816162568e+06 -5.755914128307e+06 6.261616019588e+11 4.190446409275e-04
-6.550752966272e-03 5.470247205908e-02 1.108761921211e+06 1.108779021499e+06 -5.572123422120e+06 6.492961254298e+11 4.364821505978e-04
-6.236000580510e-03 5.742029870846e-02 1.104559937866e+06 1.104577122248e+06 -5.392148820468e+06 6.728444782230e+11 4.543341826346e-04
-5.928950835727e-03 6.024950482072e-02 1.100184963474e+06 1.100202264976e+06 -5.215816274270e+06 6.968201015211e+11 4.726107416334e-04
-5.629304839085e-03 6.319686780631e-02 1.095628127495e+06 1.095645543015e+06 -5.042939103836e+06 7.212316912718e+11 4.913220442119e-04
